,9-Aug,,,1987,,,1929,,,,,,
,Date,Close,,Date,Close,,Date,Close,,Date,Close,,
443,7/13/09,901.049988,,5/24/89,319.140015,,6/22/31,14.61,,,,,
444,7/14/09,905.840027,,5/25/89,319.170013,,6/23/31,14.41,,,,,
445,7/15/09,932.679993,,5/26/89,321.589996,,6/24/31,15.09,,,,,
446,7/16/09,940.73999,,5/30/89,319.049988,,6/25/31,14.99,,,,,
447,7/17/09,940.380005,,5/31/89,320.519989,,6/26/31,15.35,,,,,
448,7/20/09,951.130005,,6/1/89,321.970001,,6/29/31,15.09,,,,,
449,7/21/09,954.580017,,6/2/89,325.519989,,6/30/31,14.83,,,,,
450,7/22/09,954.070007,,6/5/89,322.029999,,7/1/31,15.07,,,,,
451,7/23/09,976.289978,,6/6/89,324.23999,,7/2/31,14.94,,,,,
452,7/24/09,979.26001,,6/7/89,326.950012,,7/3/31,15.26,,,,,
453,7/27/09,982.179993,,6/8/89,326.75,,7/6/31,15.1,,,,,
454,7/28/09,979.619995,,6/9/89,326.690002,,7/7/31,14.51,,,,,
455,7/29/09,975.150024,,6/12/89,326.23999,,7/8/31,14.37,,,,,
456,7/30/09,986.75,,6/13/89,323.910004,,7/9/31,14.49,,,,,
457,7/31/09,987.47998,,6/14/89,323.829987,,7/10/31,14.63,,,,,
458,8/3/09,1002.630005,,6/15/89,320.079987,,7/13/31,14.23,,,,,
459,8/4/09,1005.650024,,6/16/89,321.350006,,7/14/31,14.09,,,,,
460,8/5/09,1002.719971,,6/19/89,321.890015,,7/15/31,13.8,,,,,
461,8/6/09,997.080017,,6/20/89,321.25,,7/16/31,14.14,,,,,
462,8/7/09,1010.47998,,6/21/89,320.480011,,7/17/31,14.27,,,,,
463,8/10/09,1007.099976,,6/22/89,322.320007,,7/20/31,14.46,,,,,
464,8/11/09,994.349976,,6/23/89,328,,7/21/31,14.62,,,,,
465,8/12/09,1005.809998,,6/26/89,326.600006,,7/22/31,14.28,,,,,
466,8/13/09,1012.72998,,6/27/89,328.440002,,7/23/31,14.28,,,,,
467,8/14/09,1004.090027,,6/28/89,325.809998,,7/24/31,13.97,,,,,
468,8/17/09,979.72998,,6/29/89,319.679993,,7/27/31,14.03,,,,,
469,8/18/09,989.669983,,6/30/89,317.980011,,7/28/31,14.18,,,,,
470,8/19/09,996.460022,,7/3/89,319.230011,,7/29/31,13.74,,,,,
471,8/20/09,1007.369995,,7/5/89,320.640015,,7/30/31,13.8,,,,,
472,8/21/09,1026.130005,,7/6/89,321.549988,,7/31/31,13.73,,,,,
473,8/24/09,1025.569946,,7/7/89,324.910004,,8/3/31,13.93,,,,,
474,8/25/09,1028,,7/10/89,327.070007,,8/4/31,13.84,,,,,
475,8/26/09,1028.119995,,7/11/89,328.779999,,8/5/31,13.64,,,,,
476,8/27/09,1030.97998,,7/12/89,329.809998,,8/6/31,13.55,,,,,
477,8/28/09,1028.930054,,7/13/89,329.950012,,8/7/31,13.61,,,,,
478,8/31/09,1020.619995,,7/14/89,331.839996,,8/10/31,13.55,,,,,
479,9/1/09,998.039978,,7/17/89,332.440002,,8/11/31,13.99,,,,,
480,9/2/09,994.75,,7/18/89,331.350006,,8/12/31,13.8,,,,,
481,9/3/09,1003.23999,,7/19/89,335.730011,,8/13/31,14.02,,,,,
482,9/4/09,1016.400024,,7/20/89,333.51001,,8/14/31,14.29,,,,,
483,9/8/09,1025.390015,,7/21/89,335.899994,,8/17/31,14.05,,,,,
484,9/9/09,1033.369995,,7/24/89,333.670013,,8/18/31,14.1,,,,,
485,9/10/09,1044.140015,,7/25/89,333.880005,,8/19/31,14.14,,,,,
486,9/11/09,1042.72998,,7/26/89,338.049988,,8/20/31,14.17,,,,,
487,9/14/09,1049.339966,,7/27/89,341.98999,,8/21/31,13.86,,,,,
488,9/15/09,1052.630005,,7/28/89,342.149994,,8/24/31,13.75,,,,,
489,9/16/09,1068.76001,,7/31/89,346.079987,,8/25/31,13.7,,,,,
490,9/17/09,1065.48999,,8/1/89,343.75,,8/26/31,13.93,,,,,
491,9/18/09,1068.300049,,8/2/89,344.339996,,8/27/31,13.85,,,,,
492,9/21/09,1064.660034,,8/3/89,344.73999,,8/28/31,13.99,,,,,
493,9/22/09,1071.660034,,8/4/89,343.920013,,8/31/31,13.86,,,,,
494,9/23/09,1060.869995,,8/7/89,349.410004,,9/1/31,13.92,,,,,
495,9/24/09,1050.780029,,8/8/89,349.350006,,9/2/31,13.66,,,,,
496,9/25/09,1044.380005,,8/9/89,346.940002,,9/3/31,13.35,,,,,
497,9/28/09,1062.97998,,8/10/89,348.25,,9/4/31,13.29,,,,,
498,9/29/09,1060.609985,,8/11/89,344.73999,,9/8/31,12.87,,,,,
499,9/30/09,1057.079956,,8/14/89,343.059998,,9/9/31,12.76,,,,,
500,10/1/09,1029.849976,,8/15/89,344.709991,,9/10/31,12.62,,,,,
